deliverydate,peaktype,coast,east,far_west,north,north_c,southern,south_c,west,total
1/4/2016 0:00,PeakWD,10231,1536,2113,1015,13127,3188,6435,1336,38984
1/5/2016 0:00,PeakWD,10494,1706,2175,969,14079,3189,6548,1469,40632
1/6/2016 0:00,PeakWD,10386,1619,2109,834,13711,2839,6440,1406,39347
1/7/2016 0:00,PeakWD,9806,1377,2075,680,11669,2715,5611,1326,35263
1/8/2016 0:00,PeakWD,9937,1377,2102,791,11866,2714,5686,1228,35705
1/11/2016 0:00,PeakWD,11162,1733,2129,1059,14078,3552,6809,1350,41876
1/12/2016 0:00,PeakWD,10418,1547,2088,869,12395,3066,6150,1323,37860
1/13/2016 0:00,PeakWD,10199,1479,2078,765,11870,3001,5934,1310,36640
1/14/2016 0:00,PeakWD,10053,1403,2088,645,11394,2843,5663,1458,35551
1/15/2016 0:00,PeakWD,9837,1308,2032,837,11312,2834,5564,1199,34927
1/18/2016 0:00,PeakWD,10453,1605,2147,1077,14008,2851,6233,1429,39806
1/19/2016 0:00,PeakWD,9968,1485,2031,852,12396,2731,5819,1446,36731
1/20/2016 0:00,PeakWD,10056,1473,2040,1005,13391,2765,5993,1340,38067
1/21/2016 0:00,PeakWD,10352,1702,2089,973,14670,2712,5752,1500,39752
1/22/2016 0:00,PeakWD,11365,1776,2059,1052,14385,2843,6478,1368,41329
1/25/2016 0:00,PeakWD,10094,1374,2026,771,11012,2714,5546,1255,34795
1/26/2016 0:00,PeakWD,10457,1579,2243,998,13581,3026,6777,1428,40093
1/27/2016 0:00,PeakWD,10866,1630,2100,899,12849,3545,6526,1347,39766
1/28/2016 0:00,PeakWD,10463,1541,2024,887,11828,3013,6029,1236,37025
1/29/2016 0:00,PeakWD,10127,1318,2011,666,10921,2758,5630,1428,34861
2/1/2016 0:00,PeakWD,10598,1391,1963,904,10909,2961,5646,1205,35582
2/2/2016 0:00,PeakWD,9973,1343,2042,818,10931,2701,5465,1385,34661
2/3/2016 0:00,PeakWD,9956,1534,2106,1063,12959,2788,6092,1322,37823
2/4/2016 0:00,PeakWD,10332,1604,2096,990,12698,2969,6275,1328,38294
2/5/2016 0:00,PeakWD,10259,1562,2096,783,12289,2889,6095,1504,37480
2/8/2016 0:00,PeakWD,10394,1612,2069,798,12756,2864,6098,1442,38035
2/9/2016 0:00,PeakWD,10264,1541,2007,808,12136,2817,5801,1251,36629
2/10/2016 0:00,PeakWD,9952,1434,1991,620,11492,2744,5639,1373,35250
2/11/2016 0:00,PeakWD,10001,1344,1957,745,10908,2769,5611,1142,34481
2/12/2016 0:00,PeakWD,10171,1319,1971,799,10660,2781,5548,1182,34435
2/15/2016 0:00,PeakWD,10312,1294,1987,767,10648,2977,5538,1249,34776
2/16/2016 0:00,PeakWD,10238,1309,1974,791,10754,2944,5565,1219,34798
2/17/2016 0:00,PeakWD,9915,1329,1988,666,10883,2908,5456,1412,34561
2/18/2016 0:00,PeakWD,10275,1376,1998,602,10847,2962,5638,1467,35168
2/19/2016 0:00,PeakWD,10657,1400,1997,764,10900,3040,5829,1169,35761
2/22/2016 0:00,PeakWD,9831,1324,1976,836,10741,3049,5570,1107,34438
2/23/2016 0:00,PeakWD,9748,1482,2103,1055,13173,2996,5671,1324,37555
2/24/2016 0:00,PeakWD,9886,1434,2021,928,11960,2711,5773,1174,35890
2/25/2016 0:00,PeakWD,9851,1431,2024,915,11672,2673,5677,1146,35392
2/26/2016 0:00,PeakWD,9673,1448,1991,888,11251,2636,5560,1113,34565
2/29/2016 0:00,PeakWD,10278,1382,1980,849,10849,3017,5746,1139,35244
3/1/2016 0:00,PeakWD,10344,1369,1941,828,10630,3234,5872,1126,35348
3/2/2016 0:00,PeakWD,9824,1301,1981,864,10741,3090,5654,1197,34656
3/3/2016 0:00,PeakWD,10657,1339,1942,816,10694,3422,6068,1114,36056
3/4/2016 0:00,PeakWD,9831,1294,1975,837,10462,2955,5474,1133,33965
3/7/2016 0:00,PeakWD,10440,1382,1983,851,10717,3242,5904,1149,35672
3/8/2016 0:00,PeakWD,10468,1383,1949,825,10790,3347,6360,1128,36253
3/9/2016 0:00,PeakWD,10238,1284,1954,817,10757,2718,5556,1098,34424
3/10/2016 0:00,PeakWD,10168,1306,1945,823,10747,2737,5539,1121,34390
3/11/2016 0:00,PeakWD,10350,1257,1936,841,10659,2615,5484,1097,34243
3/14/2016 0:00,PeakWD,11457,1402,1987,880,11383,3293,6376,1058,37839
3/15/2016 0:00,PeakWD,11856,1486,1957,832,11572,3371,6670,1039,38787
3/16/2016 0:00,PeakWD,11251,1387,1992,838,10945,3096,6162,1096,36770
3/17/2016 0:00,PeakWD,11400,1318,1985,806,10576,3170,6228,1111,36597
3/18/2016 0:00,PeakWD,11668,1352,1946,899,10552,3322,6212,1167,37121
3/21/2016 0:00,PeakWD,9743,1400,2003,922,11244,2600,5601,1184,34701
3/22/2016 0:00,PeakWD,9786,1302,2024,885,10869,2803,5547,1167,34388
3/23/2016 0:00,PeakWD,10311,1422,1976,890,11495,3198,6118,1181,36595
3/24/2016 0:00,PeakWD,9513,1313,1919,868,10608,2810,5343,1057,33434
3/25/2016 0:00,PeakWD,9208,1283,1945,845,10386,2654,5315,1121,32762
3/28/2016 0:00,PeakWD,10394,1415,1980,905,10858,2909,5350,1136,34951
3/29/2016 0:00,PeakWD,10418,1398,2041,901,11142,3046,5355,1176,35479
3/30/2016 0:00,PeakWD,10891,1432,2017,914,11526,3193,5942,1228,37146
3/31/2016 0:00,PeakWD,12289,1546,1921,825,11266,3825,6360,1161,39196
4/1/2016 0:00,PeakWD,9477,1323,2002,814,10498,2982,5296,1099,33495
4/4/2016 0:00,PeakWD,10492,1369,2008,886,11701,3120,5876,1106,36561
4/5/2016 0:00,PeakWD,10722,1401,2045,937,12050,3171,5911,1184,37424
4/6/2016 0:00,PeakWD,10585,1179,1983,848,11406,3303,5936,1214,36458
4/7/2016 0:00,PeakWD,10944,1144,2021,892,12058,3272,5918,1156,37411
4/8/2016 0:00,PeakWD,10670,1190,1958,823,10917,3159,5682,1090,35493
4/11/2016 0:00,PeakWD,11553,1551,2018,876,12438,3532,7070,1254,40296
4/12/2016 0:00,PeakWD,11507,1411,1919,846,10769,3338,5786,1173,36753
4/13/2016 0:00,PeakWD,10493,1396,1917,865,10566,3111,5597,1188,35138
4/14/2016 0:00,PeakWD,11015,1367,2004,876,10959,3398,5939,1227,36788
4/15/2016 0:00,PeakWD,11328,1393,2065,889,11069,3267,6025,1202,37241
4/18/2016 0:00,PeakWD,9733,1446,1926,826,11254,3461,5950,1092,35692
4/19/2016 0:00,PeakWD,11424,1579,1977,857,11781,3504,6156,1120,38402
4/20/2016 0:00,PeakWD,11232,1464,1991,839,11308,3683,6449,1117,38086
4/21/2016 0:00,PeakWD,10500,1468,2007,859,11669,3647,6274,1148,37576
4/22/2016 0:00,PeakWD,11453,1472,2036,891,11824,3566,6388,1197,38829
4/25/2016 0:00,PeakWD,13040,1709,2134,1014,13942,3961,7588,1340,44732
4/26/2016 0:00,PeakWD,12953,1796,2072,1004,14053,3853,7310,1340,44383
4/27/2016 0:00,PeakWD,12883,1614,2073,922,12870,3957,7030,1203,42556
4/28/2016 0:00,PeakWD,13345,1732,2181,983,13238,3856,7199,1264,43801
4/29/2016 0:00,PeakWD,13672,1653,2134,1059,12954,3805,7351,1314,43946
5/2/2016 0:00,PeakWD,10842,1431,2007,829,10464,3021,5440,1053,35090
5/3/2016 0:00,PeakWD,10984,1423,2067,810,11022,2920,5817,1106,36153
5/4/2016 0:00,PeakWD,11532,1492,2113,859,12079,3406,6454,1155,39095
5/5/2016 0:00,PeakWD,12115,1528,2140,919,12590,3676,6849,1218,41039
5/6/2016 0:00,PeakWD,12120,1531,2187,944,12700,3621,6793,1297,41197
5/9/2016 0:00,PeakWD,12744,1634,2145,992,13437,3679,7379,1314,43328
5/10/2016 0:00,PeakWD,14008,1852,2253,1166,16013,4004,8384,1416,49101
5/11/2016 0:00,PeakWD,13622,1794,2314,1065,15339,3943,7716,1406,47203
5/12/2016 0:00,PeakWD,14366,1728,2145,986,13369,3832,7321,1245,44995
5/13/2016 0:00,PeakWD,13569,1686,2250,977,13658,3958,7978,1328,45408
5/16/2016 0:00,PeakWD,10996,1380,2230,929,12391,3804,6672,1274,39679
5/17/2016 0:00,PeakWD,12854,1641,1985,899,12702,3998,6665,1199,41948
5/18/2016 0:00,PeakWD,12643,1395,1954,807,10728,3484,6031,1060,38105
5/19/2016 0:00,PeakWD,10452,1278,1966,766,10901,3370,5853,1124,35713
5/20/2016 0:00,PeakWD,12485,1493,2129,1248,12014,3391,6605,1210,40578
5/23/2016 0:00,PeakWD,13520,1785,2307,1162,13435,4101,7571,1375,45261
5/24/2016 0:00,PeakWD,14394,1952,2318,1099,14708,4103,7887,1382,47846
5/25/2016 0:00,PeakWD,15309,1940,2385,1144,15321,4256,7937,1450,49746
5/26/2016 0:00,PeakWD,13395,1566,2324,1088,13596,4289,8161,1421,45844
5/27/2016 0:00,PeakWD,11962,1333,2196,972,12546,4425,7320,1150,41908
5/31/2016 0:00,PeakWD,13920,1798,1912,959,13791,4161,6945,1320,44809
6/1/2016 0:00,PeakWD,13086,1633,1823,910,13783,3838,7661,1248,43986
6/2/2016 0:00,PeakWD,11733,1592,1791,888,12758,3707,7061,1092,40625
