Date,Waco TX - KACT  CDD,Waco TX - KACT  HDD,Austin TX - KAUS  CDD,Austin TX - KAUS  HDD,Brownsville TX - KBRO  CDD,Brownsville TX - KBRO  HDD,Corpus Christi TX - KCRP  CDD,Corpus Christi TX - KCRP  HDD,DallasFtWorth TX - KDFW  CDD,DallasFtWorth TX - KDFW  HDD,Galveston TX - KGLS  CDD,Galveston TX - KGLS  HDD,Houston TX - KIAH  CDD,Houston TX - KIAH  HDD,Midland TX - KMAF  CDD,Midland TX - KMAF  HDD,Paris TX - KPRX  CDD,Paris TX - KPRX  HDD,San Antonio TX - KSAT  CDD,San Antonio TX - KSAT  HDD,San Angelo TX - KSJT  CDD,San Angelo TX - KSJT  HDD,Wichita Falls TX - KSPS  CDD,Wichita Falls TX - KSPS  HDD,Tyler TX - KTYR  CDD,Tyler TX - KTYR  HDD,Victoria TX - KVCT  CDD,Victoria TX - KVCT  HDD
1/1/2016,0,22,0,18,0,15.5,0,16,0,21,0,16.5,0,17,0,32.5,0,23,0,18.5,0,25.5,0,26,0,21,0,17.5
1/2/2016,0,21,0,19.5,0,21.5,0,21.5,0,20.5,0,18,0,17,0,27,0,25,0,23,0,24,0,23.5,0,21,0,22
1/3/2016,0,17,0,18,0,18.5,0,17,0,16.5,0,14.5,0,12.5,0,23,0,20.5,0,13.5,0,19.5,0,25,0,15.5,0,14.5
1/4/2016,0,23,0,20,0,11,0,12.5,0,22,0,13.5,0,15,0,27,0,24,0,16.5,0,27,0,27.5,0,21,0,16.5
1/5/2016,0,25,0,22,0,9.5,0,13,0,25.5,0,18.5,0,20.5,0,24,0,30,0,17.5,0,24,0,28,0,27,0,16
1/6/2016,0,17.5,0,15.5,1,0,0,3.5,0,19,0,7,0,16,0,17,0,26.5,0,14,0,15.5,0,19,0,20,0,5.5
1/7/2016,0,7,0,4.5,0.5,0,0,4,0,9,0,3.5,0,5,0,14.5,0,12,0,5.5,0,11.5,0,10.5,0,6.5,0,6
1/8/2016,0,14,0,13.5,2,0,0,6,0,14.5,0,5,0,6,0,18.5,0,15,0,10.5,0,14.5,0,24,0,7.5,0,7
1/9/2016,0,23,0,15.5,0,4,0,10,0,23.5,0,11.5,0,13,0,26.5,0,25,0,15,0,26.5,0,32.5,0,18.5,0,14.5
1/10/2016,0,28,0,24.5,0,17,0,19,0,29.5,0,19.5,0,20.5,0,29,0,35,0,21,0,31,0,36,0,29,0,21.5
1/11/2016,0,25,0,21.5,0,13.5,0,16.5,0,24.5,0,17.5,0,21,0,24.5,0,29,0,19.5,0,21,0,23.5,0,25.5,0,22.5
1/12/2016,0,20,0,17,0,9,0,9,0,18,0,13,0,16.5,0,24,0,19.5,0,15.5,0,19.5,0,19.5,0,19,0,13.5
1/13/2016,0,16,0,17.5,0,5,0,10,0,13,0,11.5,0,15,0,18.5,0,16,0,15,0,17.5,0,18.5,0,14.5,0,13
1/14/2016,0,11.5,0,9,0,1,0,1,0,11,0,6,0,10.5,0,14.5,0,12.5,0,6.5,0,8.5,0,14,0,10,0,6
1/15/2016,0,11,0,11.5,3,0,0,2.5,0,10.5,0,3,0,6.5,0,17.5,0,13,0,6,0,13,0,18,0,10.5,0,5
1/16/2016,0,23,0,15,0,1.5,0,9.5,0,23.5,0,11.5,0,14,0,21.5,0,27.5,0,10.5,0,23,0,28,0,25,0,14.5
1/17/2016,0,24,0,23.5,0,12,0,17,0,23,0,17,0,18.5,0,16,0,26.5,0,20.5,0,21.5,0,24.5,0,24.5,0,19.5
1/18/2016,0,23.5,0,21.5,0,5.5,0,9,0,28.5,0,14,0,16.5,0,25,0,28.5,0,17,0,24.5,0,34.5,0,22,0,13
1/19/2016,0,11.5,0,13.5,0,3.5,0,4.5,0,14.5,0,6,0,11.5,0,9,0,24,0,11,0,15,0,21.5,0,13.5,0,8
1/20/2016,0,21,0,15,2,0,2,0,0,23,0,6,0,9.5,0,13.5,0,24,0,11,0,19.5,0,33,0,16.5,0,8
1/21/2016,0,19,0,11.5,2,0,0,0.5,0,20.5,0,6.5,0,6,0,19,0,26.5,0,8.5,0,19,0,28.5,0,19.5,0,5.5
